pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,44,2,178,2,,,,,469.20973660000004,,469.19485069999996,469.20973660000004,470.2097718,470.2097718,470.2097718,470.2097718,470.2097718,471.20964630000003,471.20964630000003,471.9105629999999,c,1,0.6942169000001286,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-150,z,44,3,179,3,,,,,471.9264062,,471.9113351000001,471.9264062,472.9263836,472.9263836,472.9263836,472.9263836,472.9263836,473.92614950000007,473.92614950000007,474.32697529999996,z,1,0.38661369999999806,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-50,x,45,0,180,0,,,,,474.34274890000006,,474.32772309999996,474.34274890000006,475.34270760000004,475.34270760000004,475.34270760000004,475.34270760000004,475.34270760000004,476.3427326000001,476.3427326000001,476.8434001999999,x,1,0.49146330000007765,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,45,1,181,1,,,,,476.8592476000001,,476.84414300000003,476.8592476000001,477.85923090000006,477.85923090000006,477.85923090000006,477.85923090000006,477.85923090000006,478.85923159999993,478.85923159999993,479.4432818,v,1,0.5740627999998651,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
50,c,45,2,182,2,,,,,479.4591716,,479.4440184,479.4591716,480.4592783999999,480.4592783999999,480.4592783999999,480.4592783999999,480.4592783999999,481.4589527999999,481.4589527999999,482.1096957,c,1,0.634903500000064,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-150,z,45,3,183,3,,,,,482.1256195000001,,482.1104456999999,482.1256195000001,483.1255618,483.1255618,483.1255618,483.1255618,483.1255618,484.12558650000005,484.12558650000005,484.74293620000003,z,1,0.601414300000215,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-50,x,46,0,184,0,,,,,484.75881460000005,,484.74369189999993,484.75881460000005,485.75876489999996,485.75876489999996,485.75876489999996,485.75876489999996,485.75876489999996,486.7588532,486.7588532,487.55943709999997,x,1,0.7839734000001499,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,46,1,185,1,,,,,487.57533910000006,,487.5601767999999,487.57533910000006,488.5754118,488.5754118,488.5754118,488.5754118,488.5754118,489.5753678000001,489.5753678000001,490.19275949999997,v,1,0.613792900000135,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
50,c,46,2,186,2,,,,,490.20851990000006,,490.1935358999999,490.20851990000006,491.2083889999999,491.2083889999999,491.2083889999999,491.2083889999999,491.2083889999999,492.2085155,492.2085155,492.9422285999999,c,1,0.720452000000023,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-150,z,46,3,187,3,,,,,492.95828400000005,,492.9429609000001,492.95828400000005,493.9582525999999,493.9582525999999,493.9582525999999,493.9582525999999,493.9582525999999,494.95810359999996,494.95810359999996,495.5920928999999,z,1,0.6318512000000283,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-50,x,47,0,188,0,,,,,495.60808629999997,,495.59280779999995,495.60808629999997,496.60814830000004,496.60814830000004,496.60814830000004,496.60814830000004,496.60814830000004,497.6079915,497.6079915,498.05866059999994,x,1,0.43449699999996483,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,47,1,189,1,,,,,498.07456490000004,,498.0593934000001,498.07456490000004,499.0747005999999,499.0747005999999,499.0747005999999,499.0747005999999,499.0747005999999,500.0746432000001,500.0746432000001,500.8919025,v,1,0.804629900000009,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
50,c,47,2,190,2,,,,,500.9078217000001,,500.8926365,500.9078217000001,501.9077291000001,501.9077291000001,501.9077291000001,501.9077291000001,501.9077291000001,502.90773480000007,502.90773480000007,503.4251306000001,c,1,0.5096461000000545,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-150,z,47,3,191,3,,,,,503.4409915000001,,503.4258586000001,503.4409915000001,504.44099529999994,504.44099529999994,504.44099529999994,504.44099529999994,504.44099529999994,505.4410158999999,505.4410158999999,505.8250988,z,1,0.3819456999999602,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-50,x,48,0,192,0,,,,,505.8407990999999,,505.82583709999994,505.8407990999999,506.84073209999997,506.84073209999997,506.84073209999997,506.84073209999997,506.84073209999997,507.8407548,507.8407548,508.32483049999996,x,1,0.4772494999999708,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,48,1,193,1,,,,,508.3407476,,508.3255690000001,508.3407476,509.34056480000004,509.34056480000004,509.34056480000004,509.34056480000004,509.34056480000004,510.34051539999996,510.34051539999996,510.8747085,v,1,0.5314998999999716,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
50,c,48,2,194,2,,,,,510.8904847000001,,510.875446,510.8904847000001,511.8904921999999,511.8904921999999,511.8904921999999,511.8904921999999,511.8904921999999,512.8903883,512.8903883,513.3243831,c,1,0.4321196000000782,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-150,z,48,3,195,3,,,,,513.3403579999999,,513.3251267,513.3403579999999,514.3403195999999,514.3403195999999,514.3403195999999,514.3403195999999,514.3403195999999,515.3402668000001,515.3402668000001,515.7409970000001,z,1,0.3981917999999496,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-50,x,49,0,196,0,,,,,515.7568701,,515.7417181999999,515.7568701,516.7569348,516.7569348,516.7569348,516.7569348,516.7569348,517.7566836999999,517.7566836999999,518.1741486999999,x,1,0.41458749999992506,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,49,1,197,1,,,,,518.1899665000001,,518.1748863,518.1899665000001,519.1900131,519.1900131,519.1900131,519.1900131,519.1900131,520.1902015000001,520.1902015000001,520.5742645,v,1,0.3757484000000204,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
50,c,49,2,198,2,,,,,520.5900824,,520.5749993,520.5900824,521.5898631,521.5898631,521.5898631,521.5898631,521.5898631,522.5897548,522.5897548,523.1237507000001,c,1,0.5183984000000237,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-150,z,49,3,199,3,,,,,523.1397351,,523.1244878,523.1397351,524.1397873999999,524.1397873999999,524.1397873999999,524.1397873999999,524.1397873999999,525.1396574,525.1396574,525.6069289,z,1,0.45646770000007564,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,,,,,0,0,0,1,525.6229166999999,,525.6116681000001,525.6229166999999,526.6229126000001,526.6229126000001,526.6229126000001,526.6229126000001,526.6229126000001,527.6227905000001,527.6227905000001,528.2902409000001,v,1,0.662998000000016,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
